Designator,Footprint,Quantity,Value,LCSC Part #
C1,1206,1,10nf,
C2,1206,1,1nf,
D1,D_MELF-RM10_Universal_Handsoldering,1,1N5711,
"J1, J2",SMA_Molex_73251-2200_Horizontal_MOD,2,SMA Connector,
J3,SolderWirePad_1x02_SMD_5x8mm,1,Conn_01x02_Pin,
R1,1206,1,3k3,
R2,1206,1,560r,
R3,1206,1,10k or 0r,
R4,1206,1,1k5 or Not Fitted,
U1,RFA Attenuator,1,RFA-10DB,
