Designator,Footprint,Quantity,Value,LCSC Part #
C1,1206,1,10nf,
C2,1206,1,1nf,
D1,D_MELF-RM10_Universal_Handsoldering,1,1N5711,
D2,D_MELF-RM10_Universal_Handsoldering,1,BAT85,
"J1, J2",SMA_Molex_73251-2200_Horizontal_MOD,2,SMA Connector,
"J3, J4",SolderWirePad_1x02_SMD_11x6mm,2,Conn_01x02_Pin,
K1,IM07GR,1,IM26GR,
R1,1206,1,3k3,
R2,1206,1,560r,
R3,1206,1,10k or 0r,
R4,1206,1,1k5 or Not Fitted,
"R5, R6",RESC11050X120N,2,100r,
U1,RFA Attenuator,1,RFA-10DB,
