Designator,Mid X,Mid Y,Rotation,Layer
C1,11.8915,35.0,0.0,top
C2,11.8915,30.5,0.0,top
D1,28.954,30.5,0.0,top
D2,50.8,31.626,90.0,top
J1,7.46,7.04,180.0,top
J2,61.038,6.908,180.0,top
K1,46.492,10.242,0.0,top
R1,18.404,30.5,0.0,top
R2,18.404,35.0,0.0,top
R3,24.904,35.0,180.0,top
R4,31.904,35.0,0.0,top
R5,60.53,16.052,0.0,top
R6,60.408,22.402,0.0,top
U1,26.1112,13.5,0.0,top
